Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Kolaghan's Command,42,39,11,BR,3.0,Instant,0.6470588235294118,0.5185185185185185,1.0481244541754575
Sunfall,45,33,11,W,5.0,Sorcery,0.8461538461538461,0.5769230769230769,1.0423414599628071
Meticulous Archive,36,29,9,UW,0.0,Land,0.6428571428571429,0.5538461538461539,1.0421071988033486
Lion Sash,29,22,7,W,2.0,Creature,0.7777777777777778,0.5686274509803921,1.0420942681263439
Zagoth Triome,51,47,14,BGU,0.0,Land,0.9333333333333333,0.5204081632653061,1.0419402994702025
Zealous Conscripts,30,24,7,R,5.0,Creature,0.5384615384615384,0.5555555555555556,1.0418723115641835
"Uro, Titan of Nature's Wrath",39,34,10,GU,3.0,Creature,0.7142857142857143,0.5342465753424658,1.0403843160545732
Palantír of Orthanc,31,30,9,,3.0,Artifact,0.75,0.5081967213114754,1.0400311216829459
Noxious Gearhulk,21,21,6,B,6.0,Creature,0.5454545454545454,0.5,1.039903440255484
Robber of the Rich,41,38,10,R,2.0,Creature,0.6666666666666666,0.5189873417721519,1.039659955696931
Oliphaunt,41,43,12,R,6.0,Creature,0.8571428571428571,0.4880952380952381,1.0382797444990288
Burn Down the House,21,23,6,R,5.0,Sorcery,0.5,0.4772727272727273,1.0380050174718893
Wooded Foothills,41,44,11,,0.0,Land,0.9166666666666666,0.4823529411764706,1.0379773733564344
"Ragavan, Nimble Pilferer",37,36,10,R,1.0,Creature,1.0,0.5068493150684932,1.0366758307418207
Echo of Eons,25,29,8,U,6.0,Sorcery,0.6666666666666666,0.46296296296296297,1.0355484705066433
Swords to Plowshares,45,32,11,W,1.0,Instant,0.9166666666666666,0.5844155844155844,1.035059526498193
Fiery Confluence,39,34,10,R,4.0,Sorcery,0.7692307692307693,0.5342465753424658,1.033133087149954
Restless Cottage,40,40,11,BG,0.0,Land,0.6875,0.5,1.0331259783590758
Burst Lightning,48,40,12,R,1.0,Instant,0.8571428571428571,0.5454545454545454,1.0318381480905348
Tireless Tracker,39,48,12,G,3.0,Creature,1.0,0.4482758620689655,1.0302118545049639
Prairie Stream,48,33,11,UW,0.0,Land,0.7857142857142857,0.5925925925925926,1.029914042557271
Ravenous Chupacabra,39,40,12,B,4.0,Creature,0.9230769230769231,0.4936708860759494,1.0265019389248597
Mulldrifter,45,40,12,U,5.0,Creature,0.8571428571428571,0.5294117647058824,1.0264904513184625
Restoration Angel,36,25,8,W,4.0,Creature,0.6153846153846154,0.5901639344262295,1.02430509031336
Wrenn and Six,20,24,6,GR,2.0,Planeswalker,0.6,0.45454545454545453,1.0241358965681446
Figure of Destiny,31,28,9,RW,1.0,Creature,0.5625,0.5254237288135594,1.0240273771233694
"Treebeard, Gracious Host",31,29,8,GW,4.0,Creature,0.6666666666666666,0.5166666666666667,1.023924353883517
Exhume,27,36,9,B,2.0,Sorcery,0.6923076923076923,0.42857142857142855,1.0231149702995006
Cemetery Gatekeeper,49,42,13,R,2.0,Creature,0.8666666666666667,0.5384615384615384,1.0230063568374077
"Venser, Shaper Savant",24,25,7,U,4.0,Creature,0.6363636363636364,0.4897959183673469,1.0212584813708696
Llanowar Elves,51,53,15,G,1.0,Creature,1.0,0.49038461538461536,1.0211280467867079
Voldaren Thrillseeker,22,19,6,R,3.0,Creature,0.6666666666666666,0.5365853658536586,1.02111371964227
Bloodstained Mire,32,34,10,,0.0,Land,0.9090909090909091,0.48484848484848486,1.019089870754001
Spirited Companion,36,25,8,W,2.0,Creature,0.5,0.5901639344262295,1.0176520512078835
Hero of Bladehold,36,30,8,W,4.0,Creature,0.6153846153846154,0.5454545454545454,1.017420414506729
Urborg Scavengers,48,44,13,B,3.0,Creature,0.8666666666666667,0.5217391304347826,1.011630595033926
