Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Faithless Looting,39,43,11,R,1.0,Sorcery,0.7857142857142857,0.47560975609756095,0.9772252518885045
Biophagus,34,45,11,G,2.0,Creature,0.7857142857142857,0.43037974683544306,0.919317926354004
Spitting Dilophosaurus,25,52,11,B,3.0,Creature,0.7857142857142857,0.3246753246753247,0.6750212605806329
Consider,36,39,11,U,1.0,Instant,0.7857142857142857,0.48,0.9636599404272901
Overgrown Tomb,37,35,11,BG,0.0,Land,0.7857142857142857,0.5138888888888888,1.1045410240166342
Prairie Stream,48,33,11,UW,0.0,Land,0.7857142857142857,0.5925925925925926,1.029914042557271
"Anim Pakal, Thousandth Moon",49,30,11,RW,3.0,Creature,0.7857142857142857,0.620253164556962,1.1513024066337136
Once Upon a Time,27,28,7,G,2.0,Instant,0.7777777777777778,0.4909090909090909,1.0071783086576465
Animate Dead,28,22,7,B,2.0,Enchantment,0.7777777777777778,0.56,1.1095368933624183
Lotus Cobra,24,27,7,G,2.0,Creature,0.7777777777777778,0.47058823529411764,1.0083497283540601
Seasoned Pyromancer,20,25,7,R,3.0,Creature,0.7777777777777778,0.4444444444444444,0.9179540061161731
Lion Sash,29,22,7,W,2.0,Creature,0.7777777777777778,0.5686274509803921,1.0420942681263439
Primeval Titan,23,28,7,G,6.0,Creature,0.7777777777777778,0.45098039215686275,1.004058821445614
Watery Grave,40,33,10,BU,0.0,Land,0.7692307692307693,0.547945205479452,1.0514337953401962
Nullpriest of Oblivion,24,47,10,B,2.0,Creature,0.7692307692307693,0.3380281690140845,0.699460059344867
Generous Ent,32,41,10,G,6.0,Creature,0.7692307692307693,0.4383561643835616,0.9223993350985904
Ponder,29,45,10,U,1.0,Sorcery,0.7692307692307693,0.3918918918918919,0.7456078124161699
Old One Eye,20,41,10,G,6.0,Creature,0.7692307692307693,0.32786885245901637,0.741639226293407
Persist,36,34,10,B,2.0,Sorcery,0.7692307692307693,0.5142857142857142,1.0870107722668454
